user_id,user_name,user_cause_id,user_cause,user_city_id,user_city,user_lat,user_lon,user_state,user_zip
10000,user_0,15,Housing and Homeless,109,Chicago Ridge,41.700001,-87.779999,IL,60415
10001,user_1,4,Family wellness,101,West New York,40.790001,-74.010002,NJ,7093
10002,user_2,19,Senior citizens,105,New York Mills,46.689999,-95.349998,MN,56567
10003,user_3,10,Technical education,113,Chicago Park,39.16,-120.959999,CA,95712
10004,user_4,7,Health & Wellbeing,113,Chicago Park,39.16,-120.959999,CA,95712
10005,user_5,10,Technical education,106,North Chicago,42.330002,-87.860001,IL,60064
10006,user_6,4,Family wellness,106,North Chicago,42.330002,-87.860001,IL,60064
10007,user_7,3,Community & Environment,115,Gainesville,29.65,82.32,FL,32608
10008,user_8,2,Career & Business,106,North Chicago,42.330002,-87.860001,IL,60064
10009,user_9,10,Technical education,111,South San Francisco,37.650002,-122.43,CA,94080
10010,user_10,2,Career & Business,103,New York Mills,43.099998,-75.290001,NY,13417
10011,user_11,14,Food,107,West Chicago,41.889999,-88.199997,IL,60185
10012,user_12,4,Family wellness,102,New York,40.75,-73.989998,NY,10001
10013,user_13,1,Arts & Culture,107,West Chicago,41.889999,-88.199997,IL,60185
10014,user_14,19,Senior citizens,110,Chicago,41.880001,-87.620003,IL,60290
10015,user_15,5,Education & Learning,108,Chicago Heights,41.509998,-87.610001,IL,60411
10016,user_16,9,Sports & Recreation,114,Baltimore,39.29,76.61,MD,21201
10017,user_17,20,People with Disabilities,103,New York Mills,43.099998,-75.290001,NY,13417
10018,user_18,8,Book Clubs,113,Chicago Park,39.16,-120.959999,CA,95712
10019,user_19,10,Technical education,115,Gainesville,29.65,82.32,FL,32608
10020,user_20,18,Legal and Tax assistance,104,East Chicago,41.639999,-87.459999,IN,46312
10021,user_21,20,People with Disabilities,108,Chicago Heights,41.509998,-87.610001,IL,60411
10022,user_22,2,Career & Business,103,New York Mills,43.099998,-75.290001,NY,13417
10023,user_23,9,Sports & Recreation,110,Chicago,41.880001,-87.620003,IL,60290
10024,user_24,1,Arts & Culture,107,West Chicago,41.889999,-88.199997,IL,60185
10025,user_25,17,Employment,107,West Chicago,41.889999,-88.199997,IL,60185
10026,user_26,8,Book Clubs,103,New York Mills,43.099998,-75.290001,NY,13417
10027,user_27,18,Legal and Tax assistance,113,Chicago Park,39.16,-120.959999,CA,95712
10028,user_28,16,Utility Assistance,103,New York Mills,43.099998,-75.290001,NY,13417
10029,user_29,2,Career & Business,112,San Francisco,37.779999,-122.419998,CA,94101
10030,user_30,15,Housing and Homeless,109,Chicago Ridge,41.700001,-87.779999,IL,60415
10031,user_31,2,Career & Business,103,New York Mills,43.099998,-75.290001,NY,13417
10032,user_32,10,Technical education,105,New York Mills,46.689999,-95.349998,MN,56567
10033,user_33,8,Book Clubs,110,Chicago,41.880001,-87.620003,IL,60290
10034,user_34,1,Arts & Culture,114,Baltimore,39.29,76.61,MD,21201
10035,user_35,20,People with Disabilities,112,San Francisco,37.779999,-122.419998,CA,94101
10036,user_36,4,Family wellness,109,Chicago Ridge,41.700001,-87.779999,IL,60415
10037,user_37,5,Education & Learning,107,West Chicago,41.889999,-88.199997,IL,60185
10038,user_38,4,Family wellness,105,New York Mills,46.689999,-95.349998,MN,56567
10039,user_39,2,Career & Business,113,Chicago Park,39.16,-120.959999,CA,95712
10040,user_40,9,Sports & Recreation,109,Chicago Ridge,41.700001,-87.779999,IL,60415
10041,user_41,2,Career & Business,109,Chicago Ridge,41.700001,-87.779999,IL,60415
10042,user_42,4,Family wellness,115,Gainesville,29.65,82.32,FL,32608
10043,user_43,8,Book Clubs,105,New York Mills,46.689999,-95.349998,MN,56567
10044,user_44,2,Career & Business,115,Gainesville,29.65,82.32,FL,32608
10045,user_45,5,Education & Learning,106,North Chicago,42.330002,-87.860001,IL,60064
10046,user_46,18,Legal and Tax assistance,113,Chicago Park,39.16,-120.959999,CA,95712
10047,user_47,15,Housing and Homeless,106,North Chicago,42.330002,-87.860001,IL,60064
10048,user_48,14,Food,112,San Francisco,37.779999,-122.419998,CA,94101
10049,user_49,17,Employment,109,Chicago Ridge,41.700001,-87.779999,IL,60415
10050,user_50,7,Health & Wellbeing,103,New York Mills,43.099998,-75.290001,NY,13417
10051,user_51,11,Children and Family,112,San Francisco,37.779999,-122.419998,CA,94101
10052,user_52,20,People with Disabilities,102,New York,40.75,-73.989998,NY,10001
10053,user_53,18,Legal and Tax assistance,105,New York Mills,46.689999,-95.349998,MN,56567
10054,user_54,8,Book Clubs,112,San Francisco,37.779999,-122.419998,CA,94101
10055,user_55,19,Senior citizens,106,North Chicago,42.330002,-87.860001,IL,60064
10056,user_56,9,Sports & Recreation,110,Chicago,41.880001,-87.620003,IL,60290
10057,user_57,3,Community & Environment,105,New York Mills,46.689999,-95.349998,MN,56567
10058,user_58,12,Substance Misuse,112,San Francisco,37.779999,-122.419998,CA,94101
10059,user_59,3,Community & Environment,107,West Chicago,41.889999,-88.199997,IL,60185
10060,user_60,18,Legal and Tax assistance,104,East Chicago,41.639999,-87.459999,IN,46312
10061,user_61,5,Education & Learning,109,Chicago Ridge,41.700001,-87.779999,IL,60415
10062,user_62,19,Senior citizens,115,Gainesville,29.65,82.32,FL,32608
10063,user_63,7,Health & Wellbeing,110,Chicago,41.880001,-87.620003,IL,60290
10064,user_64,14,Food,115,Gainesville,29.65,82.32,FL,32608
